, ID3=0x11, v3=0.00, vZ3=0.29
ID=0x12, v1=0.00, vZ1=-40.18,ID2=0x13, v2=0.00, vZ2=-25.10, ID3=0x11, v3=0.00, vZ3=-25.62
ID=0x12, v1=0.00, vZ1=-39.99,ID2=0x13, v2=0.00, vZ2=-7.25, ID3=0x11, v3=0.00, vZ3=-37.65
ID=0x12, v1=0.00, vZ1=-38.93,ID2=0x13, v2=0.00, vZ2=-25.10, ID3=0x11, v3=0.00, vZ3=-35.05
ID=0x12, v1=0.00, vZ1=-37.12,ID2=0x13, v2=0.00, vZ2=-25.10, ID3=0x11, v3=0.00, vZ3=-38.77
ID=0x12, v1=0.00, vZ1=-34.84,ID2=0x13, v2=0.00, vZ2=-25.10, ID3=0x11, v3=0.00, vZ3=-38.96
ID=0x12, v1=0.00, vZ1=-32.31,ID2=0x13, v2=0.00, vZ2=-25.10, ID3=0x11, v3=0.00, vZ3=-38.51
ID=0x12, v1=0.00, vZ1=-29.80,ID2=0x13, v2=0.00, vZ2=-25.10, ID3=0x11, v3=0.00, vZ3=-39.12
ID=0x12, v1=0.00, vZ1=-27.48,ID2=0x13, v2=0.00, vZ2=-32.36, ID3=0x11, v3=0.00, vZ3=-39.12
ID=0x12, v1=0.00, vZ1=-25.36,ID2=0x13, v2=0.00, vZ2=-32.36, ID3=0x11, v3=0.00, vZ3=-39.12
ID=0x12, v1=0.00, vZ1=-23.35,ID2=0x13, v2=0.00, vZ2=-28.27, ID3=0x11, v3=0.00, vZ3=-39.12
ID=0x12, v1=0.00, vZ1=-21.20,ID2=0x13, v2=0.00, vZ2=-32.36, ID3=0x11, v3=0.00, vZ3=-39.12
ID=0x12, v1=0.00, vZ1=-18.68,ID2=0x13, v2=0.00, vZ2=-30.61, ID3=0x11, v3=0.00, vZ3=-18.52
ID=0x12, v1=0.00, vZ1=-15.71,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-15.93
ID=0x12, v1=0.00, vZ1=-12.36,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-37.27
ID=0x12, v1=0.00, vZ1=-8.78,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-35.39
ID=0x12, v1=0.00, vZ1=-5.19,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-12.82
ID=0x12, v1=0.00, vZ1=-1.82,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-9.42
ID=0x12, v1=0.00, vZ1=1.21,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-5.95
ID=0x12, v1=0.00, vZ1=3.94,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=6.51,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=9.06,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=11.81,ID2=0x13, v2=0.00, vZ2=-31.61, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=14.82,ID2=0x13, v2=0.00, vZ2=-12.95, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=18.00,ID2=0x13, v2=0.00, vZ2=-12.95, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=21.15,ID2=0x13, v2=0.00, vZ2=-26.91, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=24.07,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=-22.10
ID=0x12, v1=0.00, vZ1=26.59,ID2=0x13, v2=0.00, vZ2=-23.05, ID3=0x11, v3=0.00, vZ3=25.49
ID=0x12, v1=0.00, vZ1=28.63,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=27.82
ID=0x12, v1=0.00, vZ1=30.22,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=2.97
ID=0x12, v1=0.00, vZ1=31.54,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=5.15
